epoch, d_loss, acc, g_loss
46200, 0.604282, 62.50%, 1.042856
46400, 0.587533, 68.75%, 1.028550
46600, 0.563646, 73.44%, 1.048828
46800, 0.635884, 57.81%, 1.073434
47000, 0.606694, 57.81%, 1.030991
47200, 0.643103, 54.69%, 0.983664
47400, 0.647976, 59.38%, 1.019050
47600, 0.650429, 54.69%, 1.093058
47800, 0.675717, 56.25%, 0.945814
48000, 0.601752, 60.94%, 0.998403
48200, 0.548752, 75.00%, 1.097855
48400, 0.607394, 65.62%, 0.910434
48600, 0.642025, 53.12%, 1.004073
48800, 0.590177, 62.50%, 1.000600
49000, 0.618856, 65.62%, 0.946804
49200, 0.587228, 62.50%, 1.031651
49400, 0.526046, 70.31%, 1.218422
49600, 0.663360, 60.94%, 1.001423
49800, 0.658062, 62.50%, 0.940748
50000, 0.581728, 59.38%, 1.084649
50200, 0.638324, 62.50%, 0.982864
50400, 0.562167, 75.00%, 1.190626
50600, 0.699108, 53.12%, 1.093076
50800, 0.693332, 56.25%, 1.081760
51000, 0.577602, 67.19%, 0.986284
51200, 0.597834, 64.06%, 1.048555
51400, 0.680108, 62.50%, 0.974771
51600, 0.562921, 76.56%, 1.015697
51800, 0.572976, 70.31%, 1.020621
52000, 0.569107, 62.50%, 1.219477
52200, 0.545904, 71.88%, 1.039114
52400, 0.551305, 65.62%, 1.123822
52600, 0.593165, 71.88%, 1.002073
52800, 0.496159, 78.12%, 1.184185
53000, 0.590794, 57.81%, 1.066984
53200, 0.510338, 68.75%, 1.111005
53400, 0.662670, 60.94%, 1.127942
53600, 0.603117, 64.06%, 1.114441
53800, 0.588869, 71.88%, 1.084736
54000, 0.549001, 70.31%, 0.989405
54200, 0.572518, 62.50%, 1.083714
54400, 0.517549, 73.44%, 1.048869
54600, 0.707806, 50.00%, 0.999994
54800, 0.510733, 75.00%, 1.298187
55000, 0.599842, 64.06%, 1.042036
55200, 0.602171, 67.19%, 1.181615
55400, 0.590933, 73.44%, 0.961766
55600, 0.601244, 59.38%, 1.080023
55800, 0.612616, 68.75%, 0.948292
56000, 0.705875, 51.56%, 1.152103
56200, 0.618963, 56.25%, 0.987449
56400, 0.534782, 73.44%, 1.137100
56600, 0.520394, 76.56%, 1.062771
56800, 0.537637, 73.44%, 1.056247
57000, 0.592745, 65.62%, 1.114867
57200, 0.654914, 57.81%, 1.093598
57400, 0.576746, 60.94%, 0.925156
57600, 0.552875, 70.31%, 1.195644
57800, 0.656630, 62.50%, 0.949344
58000, 0.633749, 62.50%, 1.030452
58200, 0.592702, 62.50%, 1.073565
58400, 0.612436, 60.94%, 1.004703
58600, 0.611683, 68.75%, 1.043242
58800, 0.680069, 56.25%, 1.100812
59000, 0.672510, 54.69%, 0.994282
59200, 0.615015, 64.06%, 1.002102
59400, 0.487976, 73.44%, 1.094903
59600, 0.582465, 70.31%, 1.114615
59800, 0.589430, 62.50%, 1.242400
